name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$
De'Aaron Fox,5500,SAC,PG,SAS,39.6396,72.072,15.8004,28.728,27.72,50.4
Buddy Hield,4700,SAC,SG,SAS,32.1542,68.4132,11.0058,23.4166,21.58,45.9149
Zach Randolph,5500,SAC,PF,SAS,35.7369,64.9762,15.6831,28.5147,25.71,46.7455
Skal Labissiere,4800,SAC,PF,SAS,22.1517,46.1494,7.1883,14.9756,14.67,30.5625
Bogdan Bogdanovic,4600,SAC,SG,SAS,29.6865,64.5359,14.2935,31.0728,21.99,47.8043
Willie Cauley-Stein,6900,SAC,C,SAS,41.2848,59.8330,17.2752,25.0365,29.28,42.4348
Brandon Paul,3500,SAS,SG,SAC,20.88,59.6571,2.32,6.62857,11.6,33.1429
Bryn Forbes,3500,SAS,SG,SAC,31.7009,90.574,7.6791,21.9403,19.69,56.2571
Tony Parker,4000,SAS,PG,SAC,25.0984,62.746,11.5416,28.854,18.32,45.8
Garrett Temple,4200,SAC,SG,SAS,29.638,70.5667,11.242,26.7667,20.44,48.6667
Kosta Koufos,4000,SAC,C,SAS,23.408,58.52,7.392,18.48,15.4,38.5
Taurean Prince,5900,ATL,SF,LAC,36.9225,62.5805,17.7775,30.1314,27.35,46.3559
Kent Bazemore,5700,ATL,SG,LAC,39.2505,68.8605,18.0495,31.6658,28.65,50.2632
Marco Belinelli,3700,ATL,SG,LAC,24.163,65.3054,8.937,24.1541,16.55,44.7297
Dennis Schroder,7400,ATL,PG,LAC,44.4399,60.0539,27.8201,37.5947,36.13,48.8243
Vince Carter,4000,SAC,SF,SAS,11.412,28.53,1.268,3.17,6.34,15.85
Malachi Richardson,3500,SAC,SG,SAS,19.359,55.3114,4.541,12.9743,11.95,34.1429
Joffrey Lauvergne,3500,SAS,C,SAC,6.5688,18.768,1.2512,3.57486,3.91,11.1714
Justin Jackson,3500,SAC,SF,SAS,8.3268,23.7909,1.9532,5.58057,5.14,14.6857
Davis Bertans,3500,SAS,PF,SAC,31.626,90.36,3.514,10.04,17.57,50.2
Patty Mills,3900,SAS,PG,SAC,26.2224,67.2369,10.1976,26.1477,18.21,46.6923
Anthony Davis,10900,NOP,PF,DET,61.9845,56.8665,34.1155,31.2986,48.05,44.0826
