name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,"=sumif(l2:l400,""=1"",b2:b400)",=max(m2:n400)
Cristiano Da Silva Felicio,3500,CHI,C,MIN,23.1404,6.61154,5.0796,1.45131,14.11,4.03143,0
Cameron Payne,4100,CHI,PG,MIN,23.792,5.80293,5.948,1.45073,14.87,3.62683,0
Noah Vonleh,3500,CHI,PF,MIN,23.526,6.72171,2.614,0.746857,13.07,3.73429,0
Zach LaVine,7200,CHI,SG,MIN,47.056,6.53556,22.144,3.07556,34.6,4.80556,0
David Nwaba,5000,CHI,SF,MIN,38.5924,7.71848,11.5276,2.30552,25.06,5.012,0
Lauri Markkanen,6100,CHI,PF,MIN,36.387,5.96508,19.593,3.21197,27.99,4.58852,0
Denzel Valentine,4000,CHI,SF,MIN,30.4704,7.6176,13.6896,3.4224,22.08,5.52,0
Bobby Portis,6900,CHI,PF,MIN,42.112,6.10319,18.048,2.61565,30.08,4.35942,0
Karl-Anthony Towns,9700,MIN,C,CHI,58.1279,5.99257,33.4121,3.44455,45.77,4.71856,0
Andrew Wiggins,6200,MIN,SG,CHI,41.7057,6.72673,22.9543,3.70231,32.33,5.21452,0
Shabazz Muhammad,3500,MIN,SF,CHI,11.178,3.19371,1.242,0.354857,6.21,1.77429,0
Gorgui Dieng,3500,MIN,PF,CHI,26.28,7.50857,8.76,2.50286,17.52,5.00571,0
Damian Lillard,9700,POR,PG,PHO,54.3998,5.60823,34.7802,3.58559,44.59,4.59691,0
Nemanja Bjelica,3500,MIN,SF,CHI,44.9874,12.8535,10.5526,3.01503,27.77,7.93429,0
Tyus Jones,3500,MIN,PG,CHI,21.7224,6.2064,4.1376,1.18217,12.93,3.69429,0
Jeff Teague,6700,MIN,PG,CHI,43.2915,6.46142,21.8085,3.255,32.55,4.85821,0
Taj Gibson,5900,MIN,PF,CHI,38.7024,6.55973,19.9376,3.37925,29.32,4.96949,0
Jamal Crawford,3800,MIN,SG,CHI,28.4142,7.47742,11.6058,3.05416,20.01,5.26579,0
Kris Dunn,6200,CHI,PG,MIN,42.8536,6.91187,19.7064,3.17845,31.28,5.04516,0
Rudy Gobert,8000,UTA,C,DAL,49.7669,6.22086,26.2131,3.27664,37.99,4.74875,0
Salah Mejri,3500,DAL,C,UTA,12.736,3.63886,3.184,0.909714,7.96,2.27429,0
Kyle Collinsworth,3600,DAL,SG,UTA,14.4811,4.02253,1.6989,0.471917,8.09,2.24722,0
Doug McDermott,3500,DAL,SF,UTA,15.4808,4.42309,5.4392,1.55406,10.46,2.98857,0
Dwight Powell,6300,DAL,PF,UTA,35.1568,5.58044,13.0032,2.064,24.08,3.82222,0
J.J. Barea,5500,DAL,PG,UTA,33.3264,6.05935,17.5536,3.19156,25.44,4.62545,0
Yogi Ferrell,3900,DAL,PG,UTA,25.1558,6.45021,9.3042,2.38569,17.23,4.41795,0
Dennis Smith Jr.,6400,DAL,PG,UTA,39.0588,6.10294,20.1212,3.14394,29.59,4.62344,0
Dirk Nowitzki,5400,DAL,PF,UTA,32.696,6.05481,16.104,2.98222,24.4,4.51852,0
Jae Crowder,4600,UTA,PF,DAL,26.5551,5.77285,10.5849,2.30107,18.57,4.03696,0
Ricky Rubio,7400,UTA,PG,DAL,35.6396,4.81616,15.6404,2.11357,25.64,3.46486,0
Alec Burks,3500,UTA,SG,DAL,11.7067,3.34477,2.3133,0.660943,7.01,2.00286,0
Jonas Jerebko,3500,UTA,PF,DAL,16.2348,4.63851,3.6852,1.05291,9.96,2.84571,0
Royce O'Neale,4600,UTA,SF,DAL,37.458,8.14304,4.162,0.904783,20.81,4.52391,0
