name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$
Dragan Bender,4100,PHO,PF,IND,30.5368,74.48,6.7032,16.3493,18.62,45.4146
Tyler Ulis,4400,PHO,PG,IND,25.1958,57.2632,9.0842,20.6459,17.14,38.9545
Josh Jackson,4200,PHO,SF,IND,34.7021,82.6240,11.8779,28.2807,23.29,55.4524
Alex Len,3500,PHO,C,IND,28.1488,80.4251,10.4112,29.7463,19.28,55.0857
Troy Daniels,3500,PHO,SG,IND,16.8258,48.0737,2.5142,7.18343,9.67,27.6286
Damian Lillard,9000,POR,PG,MIN,48.2754,53.6393,30.8646,34.294,39.57,43.9667
Isaiah Canaan,3600,PHO,PG,IND,26.3736,73.26,9.2664,25.74,17.82,49.5
Jared Dudley,3500,PHO,PF,IND,8.532,24.3771,0.948,2.70857,4.74,13.5429
Tyson Chandler,4800,PHO,C,IND,33.1432,69.0483,15.5968,32.4933,24.37,50.7708
TJ Warren,7500,PHO,SF,IND,40.415,53.8867,18.585,24.78,29.5,39.3333
Cory Joseph,4100,IND,PG,PHO,21.2784,51.8985,8.4816,20.6868,14.88,36.2927
Bojan Bogdanovic,4200,IND,SF,PHO,27.86,66.3333,11.94,28.4286,19.9,47.3810
Domantas Sabonis,6800,IND,PF,PHO,37.9114,55.7521,19.9686,29.3656,28.94,42.5588
TJ Leaf,3500,IND,PF,PHO,6.894,19.6971,0.766,2.18857,3.83,10.9429
Lance Stephenson,4900,IND,SF,PHO,38.482,78.5347,15.718,32.0776,27.1,55.3061
Devin Booker,8000,PHO,SG,IND,51.216,64.02,26.384,32.98,38.8,48.5
Al Jefferson,3700,IND,C,PHO,25.5354,69.0146,6.5846,17.7962,16.06,43.4054
C.J. McCollum,7900,POR,SG,MIN,37.4125,47.3576,22.4475,28.4146,29.93,37.8861
Evan Turner,4100,POR,SF,MIN,27.9648,68.2068,10.8752,26.5249,19.42,47.3659
Taj Gibson,5800,MIN,PF,POR,34.1145,58.8181,17.1855,29.6302,25.65,44.2241
Jeff Teague,5500,MIN,PG,POR,33.3963,60.7205,16.8237,30.5885,25.11,45.6545
Andrew Wiggins,6200,MIN,SG,POR,35.9007,57.9044,19.7593,31.8698,27.83,44.8871
Jamal Crawford,3600,MIN,SG,POR,19.6765,54.6569,7.4635,20.7319,13.57,37.6944
Tyus Jones,3700,MIN,PG,POR,18.8916,51.0584,2.9484,7.96865,10.92,29.5135
Gorgui Dieng,3800,MIN,PF,POR,30.1104,79.2379,9.2496,24.3411,19.68,51.7895
Nemanja Bjelica,3500,MIN,SF,POR,13.2676,37.9074,2.9124,8.32114,8.09,23.1143
Karl-Anthony Towns,9400,MIN,C,POR,58.7648,62.5157,33.0552,35.1651,45.91,48.8404
Jimmy Butler,9200,MIN,SF,POR,53.8099,58.4890,30.9301,33.6197,42.37,46.0543
Pat Connaughton,3500,POR,SG,MIN,12.6246,36.0703,3.2554,9.30114,7.94,22.6857
Maurice Harkless,3500,POR,SF,MIN,8.2305,23.5157,2.3895,6.82714,5.31,15.1714
Jusuf Nurkic,6700,POR,C,MIN,43.1456,64.3964,18.9344,28.2603,31.04,46.3284
Ed Davis,3500,POR,PF,MIN,27.599,78.8543,11.001,31.4314,19.3,55.1429
